,ADULT SERVICES,CAMPS,CHILD SERVICES AND WELFARE,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CULTURAL INSTITUTIONS,DAY CARE AND PRE-KINDERGARTEN,EMERGENCY SERVICES,HEALTH CARE,HIGHER EDUCATION,HISTORICAL SITES,HUMAN SERVICES,JUSTICE AND CORRECTIONS,LIBRARIES,MATERIAL SUPPLIES AND MARKETS,"OFFICES, TRAINING, AND TESTING",OTHER PROPERTY,PARKS AND PLAZAS,PUBLIC SAFETY,SCHOOLS (K-12),SOLID WASTE,TELECOMMUNICATIONS,TRANSPORTATION,VOCATIONAL AND PROPRIETARY SCHOOLS,WATER AND WASTEWATER,YOUTH SERVICES,zip,revised_market_value,Cluster
67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10279.0,490735.0,3
68,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,19.0,0.0,0.0,3.0,10280.0,294419.16949152545,3
69,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,13.0,0.0,0.0,3.0,10282.0,413713.5,3
70,2.0,2.0,22.0,7.0,13.0,19.0,1.0,38.0,2.0,9.0,44.0,4.0,1.0,0.0,33.0,0.0,24.0,1.0,24.0,17.0,1.0,28.0,2.0,2.0,47.0,10301.0,1382337.4225352113,0
71,1.0,0.0,10.0,0.0,4.0,3.0,1.0,9.0,0.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,9.0,6.0,0.0,16.0,1.0,0.0,17.0,10302.0,397001.3783783784,3
72,1.0,1.0,9.0,1.0,2.0,16.0,1.0,6.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,13.0,1.0,4.0,10.0,0.0,37.0,1.0,0.0,11.0,10303.0,305987.0740740741,1
73,2.0,3.0,13.0,1.0,9.0,23.0,4.0,15.0,0.0,9.0,18.0,0.0,2.0,0.0,2.0,0.0,11.0,0.0,18.0,12.0,0.0,10.0,2.0,0.0,46.0,10304.0,688321.130952381,1
74,0.0,1.0,7.0,2.0,7.0,27.0,2.0,33.0,0.0,9.0,5.0,0.0,1.0,0.0,1.0,0.0,13.0,2.0,13.0,10.0,0.0,1.0,3.0,1.0,12.0,10305.0,491752.4537815126,1
75,1.0,1.0,10.0,0.0,5.0,30.0,1.0,7.0,0.0,8.0,7.0,0.0,2.0,0.0,0.0,0.0,15.0,1.0,15.0,5.0,0.0,4.0,4.0,2.0,21.0,10306.0,449324.0315789474,1
76,0.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,5.0,10307.0,526927.3461538461,3
77,0.0,1.0,4.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,7.0,4.0,0.0,2.0,0.0,1.0,6.0,10308.0,388916.55,3
78,0.0,2.0,11.0,2.0,2.0,20.0,1.0,11.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0,22.0,1.0,6.0,13.0,1.0,25.0,0.0,1.0,12.0,10309.0,868416.7261904762,1
79,2.0,3.0,11.0,5.0,10.0,19.0,2.0,13.0,0.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,8.0,14.0,0.0,24.0,0.0,2.0,22.0,10310.0,458591.4666666667,1
80,2.0,2.0,2.0,3.0,1.0,22.0,2.0,5.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,14.0,4.0,0.0,5.0,0.0,3.0,15.0,10312.0,495126.36554621847,1
81,6.0,5.0,18.0,6.0,8.0,54.0,4.0,34.0,2.0,6.0,18.0,0.0,1.0,0.0,5.0,0.0,35.0,2.0,34.0,30.0,0.0,16.0,4.0,3.0,26.0,10314.0,527829.6203208556,0
82,2.0,2.0,26.0,12.0,15.0,31.0,3.0,51.0,2.0,7.0,52.0,5.0,1.0,0.0,30.0,1.0,31.0,1.0,44.0,16.0,0.0,48.0,3.0,0.0,58.0,10451.0,3338416.6666666665,0
83,0.0,1.0,15.0,7.0,4.0,38.0,2.0,25.0,0.0,2.0,19.0,0.0,1.0,0.0,1.0,0.0,32.0,2.0,37.0,13.0,0.0,34.0,0.0,0.0,72.0,10452.0,1540250.0,0
84,2.0,0.0,17.0,1.0,7.0,33.0,2.0,34.0,1.0,1.0,19.0,0.0,2.0,0.0,4.0,0.0,26.0,0.0,32.0,9.0,0.0,34.0,0.0,0.0,60.0,10453.0,385000.0,1
85,2.0,0.0,18.0,5.0,5.0,24.0,2.0,20.0,0.0,1.0,28.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,43.0,23.0,1.0,24.0,1.0,1.0,57.0,10454.0,2071020.4,0
86,4.0,0.0,19.0,3.0,1.0,29.0,2.0,54.0,0.0,8.0,42.0,1.0,0.0,0.0,2.0,0.0,14.0,3.0,36.0,6.0,0.0,16.0,7.0,0.0,60.0,10455.0,571000.0,0
87,4.0,1.0,37.0,4.0,4.0,44.0,3.0,57.0,0.0,4.0,49.0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,65.0,9.0,0.0,26.0,2.0,0.0,98.0,10456.0,3532370.6666666665,0
88,1.0,0.0,33.0,9.0,2.0,48.0,6.0,59.0,1.0,3.0,42.0,0.0,2.0,0.0,13.0,0.0,36.0,3.0,57.0,17.0,0.0,38.0,1.0,0.0,76.0,10457.0,1903690.7692307692,0
